------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.1 port 5001 connected with 10.0.0.4 port 45563
[ ID] Interval       Transfer     Bandwidth
[  4] 43.0-43.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 43.5-44.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 44.0-44.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 44.5-45.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 45.0-45.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 45.5-46.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 46.0-46.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 46.5-47.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 47.0-47.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 47.5-48.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 48.0-48.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 48.5-49.0 sec  22.6 KBytes   371 Kbits/sec
[  4] 49.0-49.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 49.5-50.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 50.0-50.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 50.5-51.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 51.0-51.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 51.5-52.0 sec  1.41 KBytes  23.2 Kbits/sec
[  4] 52.0-52.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 52.5-53.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 53.0-53.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 53.5-54.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 54.0-54.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 54.5-55.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 55.0-55.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 55.5-56.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 56.0-56.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 56.5-57.0 sec   165 KBytes  2.71 Mbits/sec
[  4] 57.0-57.5 sec   444 KBytes  7.27 Mbits/sec
[  4] 57.5-58.0 sec   816 KBytes  13.4 Mbits/sec
[  4] 58.0-58.5 sec   264 KBytes  4.33 Mbits/sec
[  4] 58.5-59.0 sec   221 KBytes  3.61 Mbits/sec
[  4] 59.0-59.5 sec   153 KBytes  2.50 Mbits/sec
[  4] 59.5-60.0 sec   291 KBytes  4.77 Mbits/sec
[  4] 60.0-60.5 sec  65.0 KBytes  1.07 Mbits/sec
[  4] 60.5-61.0 sec   339 KBytes  5.56 Mbits/sec
[  4] 61.0-61.5 sec   308 KBytes  5.05 Mbits/sec
[  4] 61.5-62.0 sec  22.6 KBytes   371 Kbits/sec
[  4] 62.0-62.5 sec  19.8 KBytes   324 Kbits/sec
[  4] 62.5-63.0 sec   387 KBytes  6.35 Mbits/sec
