------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.2 port 5001 connected with 10.0.0.5 port 50769
[ ID] Interval       Transfer     Bandwidth
[  4] 22.5-23.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 23.0-23.5 sec   115 KBytes  1.88 Mbits/sec
[  4] 23.5-24.0 sec   197 KBytes  3.22 Mbits/sec
[  4] 24.0-24.5 sec   171 KBytes  2.80 Mbits/sec
[  4] 24.5-25.0 sec   154 KBytes  2.53 Mbits/sec
[  4] 25.0-25.5 sec   156 KBytes  2.55 Mbits/sec
[  4] 25.5-26.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 26.0-26.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 26.5-27.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 27.0-27.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 27.5-28.0 sec  63.6 KBytes  1.04 Mbits/sec
[  4] 28.0-28.5 sec  55.1 KBytes   904 Kbits/sec
[  4] 28.5-29.0 sec  52.3 KBytes   857 Kbits/sec
[  4] 29.0-29.5 sec   691 KBytes  11.3 Mbits/sec
[  4] 29.5-30.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 30.0-30.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 30.5-31.0 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 31.0-31.5 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 31.5-32.0 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 32.0-32.5 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 32.5-33.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 33.0-33.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 33.5-34.0 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 34.0-34.5 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 34.5-35.0 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 35.0-35.5 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 35.5-36.0 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 36.0-36.5 sec  83.4 KBytes  1.37 Mbits/sec
[  4] 36.5-37.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 37.0-37.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 37.5-38.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 38.0-38.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 38.5-39.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 39.0-39.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 39.5-40.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 40.0-40.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 40.5-41.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 41.0-41.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 41.5-42.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 42.0-42.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 42.5-43.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 43.0-43.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 43.5-44.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 44.0-44.5 sec  82.0 KBytes  1.34 Mbits/sec
